book_id,publisher,num_pages,publication_day,isbn13,publication_month,edition_information,publication_year
16037549,"Houghton, Mifflin and Company",80,1,,11,,1887
22466716,New Directions,128,20,9780811223980,4,,2015
926662,Farrar Straus Giroux,,12,9780374428112,7,,2008
926667,Mariner Books,190,18,9780156182898,3,,1964
29065952,ELJ Publications,118,23,9781942004196,12,First,2015
35235890,Everest Yayinlari,128,26,9786051851471,5,,2017
15861988,Tollington Press,80,,,,,2009
9495428,,,,,,,
346381,frzn,72,,,,,2005
598195,Aunt Lute Books,,12,9781879960121,12,,1987
24849837,Naked Soul Press,172,9,9780692265291,1,,2015
554372,,,,9789681911287,,,
20544060,Caitlin Press,128,1,9781927575246,9,,2013
10898316,CavanKerry Press,63,8,9781933880228,2,,2011
17510247,lmw'ss@ l`rby@ lldrst wlnshr,228,1,,1,,1990
2067880,Greenwillow Books,56,1,9780688167189,3,,2000
213181,Puffin,96,1,9780140586206,8,,1990
17729612,http://www.randomhouse.com/boldtype/,2,,,10,,2000
250810,,,,9780553269154,,,
11739266,Gallimard,,1,9782070441495,5,,2011
8077005,Ugly Duckling Presse,19,,,,,2010
35288488,,,,,,,
6100815,Ceskoslovensky spisovatel,287,,,,Slunovrat,1978
24874449,Penguin Classics,64,26,9780141980225,2,Little Black Classics #25,2015
17227009,Benerus,207,,9789080636378,,,2008
2260201,,,,9780670018680,,,
269677,New Directions Publishing Corporation,207,1,9780811212380,6,,1993
1828412,University Of Chicago Press,333,15,9780226773360,12,,1993
3864107,,,,9789879396278,,,
17562598,Eridanos,93,,9789603350590,3,,2006
6635610,ntshrt frhngsr yswly,124,,,,,1996
34381389,Etruscan Press,184,10,9780997745528,10,,2017
13423864,Ganatleba,127,,,,,1981
3816201,House of Anansi Press,80,1,9780887845925,5,,1997
1388854,Popular Library,210,14,9780446177955,3,,2008
2009619,,225,,9789681678685,,,
9572160,Peachtree Publishers,45,1,9781561455652,4,,2011
1286592,Random House,158,31,9780679448815,8,,1999
6202812,Diogenes,433,,9783257213515,,,1985
773136,University of Pittsburgh Press,104,31,9780822953685,3,,1985
11385118,Snare Books,79,10,9780981248868,10,,2010
25100138,Tebot Bach Press,74,3,9781939678133,3,First,2015
1739707,New Issues Poetry & Prose,67,1,9780932826657,11,,1998
11793659,Copper Canyon Press,160,12,9781556593741,7,,2011
13494092,Unwin Paperbacks,55,,,,,1979
17284121,bidyaaprkaash,326,,,2,,1994
25490630,Finishing Line Press,26,,9781622298815,4,chapbook,2015
10427087,Seven Stories Press,384,29,9781609803452,11,,2011
24820659,,,,,,,
4204521,,,,9780689805639,,,
6603057,White Pine Press,208,1,9781935210009,6,,2009
752936,Dover Publications,64,1,9780486264684,7,,1990
25402546,The Great Indian Poetry Collective,94,,9780986065224,4,,2015
3658489,dr mlmH llnshr,149,,,,,2007
18858148,,,,,,,
25384853,,274,16,9780986262784,4,,2015
28088033,,,,,,,
17333426,Grand Central Publishing,240,1,9781455519149,10,,2013
16186963,Harper & Row,85,,,,,1966
7517330,Graywolf Press,167,20,9781555975623,7,,2010
1207466,Wiley,352,19,9780471393412,9,,2000
18336230,Hyacinth Girl Press,35,1,,9,,2013
551357,Harvard University Press,576,1,9780674991583,1,,1988
9719801,Solar Books,262,15,9780982046487,6,,2011
32022138,,,,9781934819609,,,
2408028,Gallimard,192,,9782070367238,,,1976
55427,Faber  Faber,,23,9780571174256,8,,1999
24940289,Library of America,976,4,9781598532739,4,,2013
12396002,Universidad Autonoma de Nuevo Leon,,,9786074331097,,,
1840718,Picador,49,17,9780330433327,9,,2005
1499640,McClelland & Stewart,88,15,9780771024672,3,,2005
1499648,,,,,,,2007
2599816,Dell (NY),192,,,,Laurel Poetry Series,1968
26848169,,,,,,,
20631997,Klub simeinogo dozvillia,368,,9789661465410,,,2014
849845,University of California Press,,22,9780520229259,5,Bilingual edition,2001
20262357,Harper Collins,251,,,,Eight Impression,2012
18406193,Alice James Books,100,6,9781938584053,5,,2014
18406197,White Pine Press,108,11,9781935210511,2,,2014
1545160,Creative Arts Book Company,,1,9780887393433,1,,2001
6411796,BOA Editions Ltd.,112,1,9781934414217,5,,2009
17229678,Faber & Faber,57,7,9780571284054,3,,2013
3385038,Counterpoint,321,,9781582434445,,,2008
3052316,New Star Books,87,1,9781554200009,1,,2003
33931056,Farrar Straus and Giroux,,5,9780374279646,9,,2017
820475,"Samuel French, Inc.",98,27,9780573640445,9,,2010
820474,Chatto  Windus,200,30,9780701136611,8,,1990
10311528,SEI,784,,9788805059225,,,2003
23497828,Penguin,,,9780143420842,,,2014
34608938,lhyy'@ lmSry@ l`m@ llktb,125,,9789779111148,,,2017
13212950,Batsford,96,7,9781849940375,8,,2012
27409580,Univ Of Minnesota Press,300,30,9780816698066,5,,2016
11390422,Can Yayinlari,675,,9789750706653,,,2006
563117,La Alameda Press,95,1,9781888809411,1,,2003
96910,,321,,9789500306973,,,
9182566,Dodo Press,120,20,9781409948612,3,,2009
10438957,HMH Books for Young Readers,40,6,9780547576831,9,,2011
17824924,Punk & Sissy Publications,56,15,,4,,2013
17437209,"Saint Julian Press, Inc.",124,3,9780988944701,2,,2013
7328221,Faber & Faber,,,,,,
10589071,,,,2940020741898,,,
13399473,Ediciones Hiperion,93,,9788475179735,,,
25969873,Yapi Kredi Yayinlari,72,,9789750833298,,,2015
10046700,Red Hen Press,96,1,9781597094467,2,,2011
18748766,Forlaget mellemgaard,89,30,9788793076747,10,,2013
13558836,Kanev Books,116,20,9781937131159,3,First edition,2012
22663880,Editorial Gredos S.A.,584,18,9788424903442,2,1,2010
12429335,Chronicle Books,36,14,9780811872843,3,,2012
26831641,Back Bay Books,352,30,9780316184151,1,,1964
1520244,Holy Cow! Press,118,1,9780930100889,4,,1999
1939787,Holy Cow! Press,72,1,9780930100599,4,,2001
678825,WordSong,64,1,9781590783382,10,,2005
7113632,Oxford University Press,262,,9780195547726,,,1988
26165692,Pelican Shakespeare,,29,,3,,2016
1917087,Aschehoug,194,,9788203047374,,Tidenes norske diktere #5,1972
375893,University Of Iowa Press,122,1,9781587296215,10,,2007
2442582,Penguin Classics,416,,9780713999617,,,
11517452,Atria Books,544,18,9781451626360,10,,2011
30989405,Random House,34,,,,,1968
11399139,,,,,,,
765987,William Morrow,158,16,9780688162863,9,,1998
15829794,,,,,,,
1222347,University of Pittsburgh Press,81,30,9780822954583,11,,1991
17324134,Chronicle Books,112,30,9781452119038,7,,2013
29869936,,,,,,,
3137572,Harper Paperbacks,208,25,9780061567131,3,,2008
397019,,,,9781417909308,,,
17861288,Poemhunter.com - The World's Poetry Archive,53,,,,,2012
1298073,"Farrar, Straus and Giroux",115,15,9780374530884,5,,2007
10506571,Palimpsest Press,86,15,9781926794013,9,,2010
22727911,PlotPoint Publishing,90,,9786029481679,6,,2014
30984227,,,,,,,
15770114,,,,,,,
12156125,Can Yayinlari,272,,9789750713361,,,2011
169070,Houghton Mifflin Harcourt,96,9,9780618443703,3,,2007
677952,Penguin Classics,144,2,9780140433678,11,Revised,1993
1990488,Joy Street,28,,,,,2006
29545462,CreateSpace,64,29,,6,,2015
704915,New Directions Publishing Corporation,275,1,9780811204934,2,,1973
704917,New Directions,96,17,9780811213523,5,,1997
