book_id,author
16037549,15585
22466716,16073
926662,18540
926667,18540
29065952,14308759
35235890,11563
15861988,2988946
9495428,25492
346381,619932
598195,516921
24849837,13260036
554372,30195
20544060,547708
10898316,592389
17510247,75055
2067880,68669
213181,16939443
17729612,14002590
250810,41992
11739266,4379
8077005,683293
35288488,16914001
6100815,2784138
24874449,5031312
17227009,15538
2260201,5158478
269677,86821
1828412,405957
3864107,147464
17562598,44150
6635610,2742325
34381389,3020723
13423864,5553615
3816201,211230
1388854,87097
2009619,62257
9572160,354189
1286592,191072
6202812,1438
773136,33323
11385118,85683
25100138,1870421
1739707,798612
11793659,481903
13494092,128034
17284121,6879336
25490630,13923280
10427087,191691
24820659,837135
4204521,87184
6603057,136719
752936,38069
25402546,6472399
3658489,1553253
18858148,5431334
25384853,8445480
28088033,87686
17333426,5370407
16186963,4379
7517330,85594
1207466,586239
18336230,716849
551357,302994
9719801,153341
32022138,15058205
2408028,54133
55427,3012988
24940289,244933
12396002,84259
1840718,117633
1499640,211229
1499648,6584435
2599816,1438
26848169,13645556
20631997,9805044
849845,7906
20262357,394789
18406193,7246952
18406197,602275
1545160,55305
6411796,231255
17229678,1772023
3385038,4261
3052316,1308739
33931056,32878
820475,4246
820474,4242
10311528,5031312
23497828,835628
34608938,2690927
13212950,1594222
27409580,842541
11390422,7816
563117,308679
96910,13847
9182566,2697
10438957,11137
17824924,154116
17437209,4375250
7328221,18540
10589071,355042
13399473,15165794
25969873,2863794
10046700,30822
18748766,7372411
13558836,5782998
22663880,903
12429335,141587
26831641,7440
1520244,503056
1939787,881732
678825,228801
7113632,511598
26165692,947
1917087,872431
375893,214296
2442582,1087515
11517452,2821144
30989405,15929
11399139,94249
765987,11523
15829794,3417035
1222347,592418
17324134,6075654
29869936,1691
3137572,2624
397019,38069
17861288,10547
1298073,46110
10506571,180093
22727911,14114518
30984227,14198155
15770114,5158478
12156125,3371614
169070,98475
677952,5158478
1990488,329700
29545462,3413449
704915,36915
704917,36915
1173087,9876
475003,1947737
20563083,6604439
1849948,34575
10250238,4588916
9368172,481929
3130834,832925
2694953,38124
21896506,541034
6554190,848591
2701,1838
6657114,91847
493359,39150
36333521,1938
6004176,1593709
25060281,5786093
1190701,89815
28926132,7373404
1501849,72605
1233859,3472
1489946,214245
1676943,524790
1171423,108368
1504664,103394
3565588,145312
21363357,1099147
197986,8240
28481692,14840691
9466037,1113469
18624885,16366171
16187882,6594426
6590725,1433597
743646,119004
1515020,707250
344344,38124
1335224,636776
886017,66244
6438915,795235
30072542,15224620
10404643,1265019
13519197,311795
8812416,229453
17406722,4608194
6435705,950184
396581,36915
9615870,153341
129658,21886
1140164,559587
382075,296961
3184065,1355090
13647986,13638502
8175403,629988
2355014,45882
10402730,334858
8620591,2920251
1672141,771815
75493,42912
75496,42914
75497,42912
75494,42912
75495,42912
113209,65528
20470799,40274
50068,28188
4361538,1828362
12389347,61636
26001310,14120238
22461190,6559529
4592127,4699102
12309808,410753
17231953,3012988
7107083,7906
